t,solar,wind
736,0,0.108
737,0,0.151
738,0,0.17
739,0,0.151
740,0,0.109
741,0,0.066
742,0,0.043
743,0,0.032
744,0,0.02
745,0,0.023
746,0,0.019
747,0,0.014
748,0.002,0.009
749,0.043,0.004
750,0.081,0.004
751,0.234,0.015
752,0.493,0.046
753,0.56,0.075
754,0.549,0.089
755,0.494,0.082
756,0.397,0.072
757,0.279,0.072
758,0.116,0.143
759,0,0.379
760,0,0.494
761,0,0.398
762,0,0.214
763,0,0.114
764,0,0.077
765,0,0.052
766,0,0.039
767,0,0.025
768,0,0.009
769,0,0.003
770,0,0.008
771,0,0.024
772,0.012,0.094
773,0.304,0.109
774,0.498,0.048
775,0.618,0.052
776,0.79,0.058
777,0.787,0.069
778,0.77,0.103
779,0.73,0.166
780,0.556,0.222
781,0.164,0.173
782,0.022,0.1
783,0,0.06
784,0,0.043
785,0,0.035
786,0,0.032
787,0,0.048
788,0,0.1
789,0,0.161
790,0,0.192
791,0,0.263
792,0,0.382
793,0,0.451
794,0,0.401
795,0,0.384
796,0.011,0.413
797,0.225,0.402
798,0.478,0.282
799,0.643,0.514
800,0.587,0.518
801,0.592,0.462
802,0.569,0.447
803,0.461,0.443
804,0.378,0.428
805,0.35,0.336
806,0.224,0.241
807,0,0.226
808,0,0.234
809,0,0.229
810,0,0.217
811,0,0.235
812,0,0.299
813,0,0.383
814,0,0.445
815,0,0.474
816,0,0.533
817,0,0.617
818,0,0.675
819,0,0.672
820,0.009,0.654
821,0.235,0.503
822,0.368,0.191
823,0.474,0.119
824,0.579,0.042
825,0.668,0.02
826,0.729,0.043
827,0.731,0.09
828,0.67,0.128
829,0.55,0.162
830,0.289,0.244
831,0,0.378
832,0,0.461
833,0,0.481
834,0,0.392
835,0,0.322
836,0,0.313
837,0,0.377
838,0,0.461
839,0,0.584
840,0,0.677
841,0,0.652
842,0,0.59
843,0,0.602
844,0.016,0.648
845,0.148,0.532
846,0.318,0.39
847,0.489,0.672
848,0.721,0.747
849,0.515,0.756
850,0.603,0.794
851,0.588,0.833
852,0.358,0.822
853,0.151,0.729
854,0.017,0.47
855,0,0.212
856,0,0.087
857,0,0.048
858,0,0.07
859,0,0.153
860,0,0.313
861,0,0.534
862,0,0.652
863,0,0.625
864,0,0.507
865,0,0.471
866,0,0.538
867,0,0.638
868,0,0.721
869,0.031,0.699
870,0.103,0.664
871,0.226,0.831
872,0.355,0.916
873,0.475,0.933
874,0.538,0.941
875,0.556,0.948
876,0.483,0.934
877,0.391,0.879
878,0.215,0.788
879,0,0.836
880,0,0.84
881,0,0.819
882,0,0.832
883,0,0.864
884,0,0.861
885,0,0.844
886,0,0.799
887,0,0.769
888,0,0.741
889,0,0.721
890,0,0.696
891,0,0.652
892,0.119,0.634
893,0.764,0.661
894,0.858,0.871
895,0.89,0.853
896,0.897,0.775
897,0.887,0.646
898,0.869,0.484
899,0.838,0.325
900,0.782,0.223
901,0.677,0.158
902,0.421,0.147
903,0,0.311
904,0,0.474
905,0,0.541
906,0,0.496
907,0,0.372
908,0,0.241
909,0,0.184
910,0,0.219
911,0,0.271
912,0,0.347
913,0,0.391
914,0,0.381
915,0,0.343
916,0.083,0.313
917,0.638,0.452
918,0.801,0.561
919,0.843,0.614
920,0.847,0.676
921,0.843,0.727
922,0.813,0.75
923,0.708,0.767
924,0.518,0.754
925,0.312,0.711
926,0.093,0.672
927,0,0.612
928,0,0.574
929,0,0.58
930,0,0.526
931,0,0.528
932,0,0.501
933,0,0.401
934,0,0.267
935,0,0.199
936,0,0.191
937,0,0.164
938,0,0.121
939,0,0.208
940,0.017,0.241
941,0.176,0.243
942,0.297,0.231
943,0.507,0.206
944,0.494,0.186
945,0.391,0.159
946,0.372,0.114
947,0.538,0.102
948,0.626,0.12
949,0.423,0.152
950,0.099,0.162
951,0,0.162
952,0,0.216
953,0,0.229
954,0,0.212
955,0,0.186
956,0,0.124
957,0,0.064
958,0,0.028
959,0,0.02
960,0,0.035
961,0,0.044
962,0,0.028
963,0,0.019
964,0,0.012
965,0.012,0.014
966,0.047,0.019
967,0.135,0.026
968,0.289,0.048
969,0.233,0.103
970,0.188,0.179
971,0.15,0.18
972,0.089,0.093
973,0.046,0.031
974,0.008,0.045
975,0,0.137
976,0,0.269
977,0,0.299
978,0,0.278
979,0,0.316
980,0,0.406
981,0,0.471
982,0,0.464
983,0,0.431
984,0,0.377
985,0,0.319
986,0,0.313
987,0,0.389
988,0,0.499
989,0.081,0.461
990,0.285,0.389
991,0.516,0.807
992,0.626,0.936
